1,2679,2947.3,3257,161.917
2,2639,2938.8,3493,208.701
3,2629,3005.45,3487,220.448
4,2489,2988.35,3319,178.752
5,2661,2957.55,3293,160.215
6,2463,2870.65,3214,213.451
7,2546,2965.75,3191,187.883
8,2601,2940.6,3165,145.79
9,2647,2869.85,3138,120.582
10,2656,2981.15,3394,173.442
11,2659,2908.7,3220,144.131
12,2549,2924.3,3219,169.759
13,2732,2974.35,3203,131.432
14,2716,2990.6,3247,153.739
15,2721,2926.75,3243,155.431
16,2671,2935.2,3275,184.543
17,2602,2911.75,3106,122.046
18,2714,3040.75,3290,166.913
19,2530,2956.55,3307,174.969
20,2609,2921.5,3268,156.524
21,2588,2914,3277,173.206
22,2469,2902.95,3500,236.891
23,2636,2963.35,3211,145.827
24,2619,2972.1,3417,208.428
25,2657,2988.85,3194,159
26,2654,2945.95,3178,148.87
27,2609,2957.1,3227,176.608
28,2600,2945.85,3280,153.738
29,2521,2885.1,3104,137.954
30,2625,2959.25,3276,190.811
31,2644,2950.4,3197,138.968
32,2589,2918.45,3339,167.241
33,2663,2926.45,3160,141.351
34,2593,2896.1,3146,140.183
35,2728,2945.1,3272,150.669
36,2546,2947.35,3260,191.428
37,2709,3007.9,3258,145.638
38,2588,2928.15,3309,181.043
39,2633,2927.45,3158,144.073
40,2542,2886.9,3370,193.813
41,2611,2931.4,3340,169.362
42,2585,2929.95,3247,179.456
43,2576,3005.75,3254,157.335
44,2729,2955.05,3226,154.367
45,2643,2956.8,3345,189.165
46,2557,2935.9,3261,186.862
47,2560,2936.8,3422,245.938
48,2604,2923.05,3206,141.842
49,2647,2981.9,3184,145.64
50,2649,2966.1,3273,163.082
51,2635,2906.5,3331,171.292
52,2583,2916,3135,148.12
53,2687,2872.65,3160,138.849
54,2516,2903.25,3286,178.79
55,2567,2976.8,3299,175.994
56,2688,2949,3129,126.436
57,2709,2901.75,3250,136.516
58,2551,2936.75,3227,181.411
59,2773,2940.2,3160,127.472
60,2688,2987.45,3243,164.927
61,2695,2944.7,3179,135.158
62,2449,2904.65,3187,168.439
63,2735,2971.75,3267,137.741
64,2746,2979.3,3316,134.723
65,2548,2934.95,3300,177.049
66,2501,2871.5,3279,187.403
67,2564,2981.4,3227,196.41
68,2551,2842.95,3206,178.794
69,2444,2954.1,3614,257.296
70,2794,2984.65,3183,128.995
71,2733,3016.05,3375,152.858
72,2598,2898.45,3149,140.113
73,2542,2886.25,3260,209.884
74,2583,2945.25,3286,168.885
75,2533,2980.9,3407,179.236
76,2565,2987.4,3298,196.191
